<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20230101,000000,1.0702000,1.0707000,1.0686000,1.0703000,1195
20230102,000000,1.0704000,1.0708700,1.0648000,1.0676600,249019
20230103,000000,1.0676200,1.0680400,1.0517000,1.0545100,3016712
20230104,000000,1.0545100,1.0635500,1.0543000,1.0605500,2947165
20230105,000000,1.0605200,1.0631500,1.0513000,1.0520400,2793306
20230106,000000,1.0520500,1.0648200,1.0480500,1.0641300,2781320
20230108,000000,1.0644000,1.0662900,1.0634000,1.0661900,66191
20230109,000000,1.0662600,1.0760600,1.0650000,1.0732000,2121237
20230110,000000,1.0732100,1.0759500,1.0710000,1.0738500,2113189
20230111,000000,1.0738200,1.0777500,1.0724000,1.0765400,1802247
20230112,000000,1.0765400,1.0867000,1.0728100,1.0859000,2553334
20230113,000000,1.0859200,1.0868000,1.0779000,1.0831900,2112537
20230115,000000,1.0832700,1.0835900,1.0819000,1.0822200,73344
20230116,000000,1.0822200,1.0874200,1.0800000,1.0829800,1669740
20230117,000000,1.0828900,1.0869900,1.0773000,1.0789200,2621360
20230118,000000,1.0789200,1.0887400,1.0765000,1.0796900,3131599
20230119,000000,1.0797400,1.0840200,1.0781000,1.0833100,2415250
20230120,000000,1.0833600,1.0859000,1.0801000,1.0855000,1976609
20230122,000000,1.0851900,1.0872000,1.0851900,1.0863800,57913
20230123,000000,1.0864400,1.0926800,1.0844000,1.0871000,1720007
20230124,000000,1.0871000,1.0898100,1.0833000,1.0889000,1671240
20230125,000000,1.0889200,1.0923800,1.0856000,1.0920600,1674567
20230126,000000,1.0920800,1.0929500,1.0849000,1.0893000,1725690
20230127,000000,1.0893000,1.0900400,1.0836000,1.0864900,1516740
20230129,000000,1.0862800,1.0873000,1.0857900,1.0871500,39134
20230130,000000,1.0871500,1.0913800,1.0837000,1.0849200,1655771
20230131,000000,1.0849700,1.0875000,1.0800000,1.0860700,1760854
20230201,000000,1.0860400,1.1033000,1.0850000,1.1012200,2081253
20230202,000000,1.1012700,1.1026900,1.0884500,1.0904300,2261917
20230203,000000,1.0904400,1.0940200,1.0791000,1.0793000,2160672
20230205,000000,1.0787000,1.0798400,1.0780200,1.0789000,68401
20230206,000000,1.0788900,1.0799000,1.0708000,1.0729000,1789559
20230207,000000,1.0728500,1.0766500,1.0667000,1.0729900,2217208
20230208,000000,1.0730500,1.0760700,1.0706500,1.0715100,1627696
20230209,000000,1.0714900,1.0790800,1.0708000,1.0738700,1682786
20230210,000000,1.0738700,1.0752700,1.0665000,1.0675400,2101264
20230212,000000,1.0678000,1.0691000,1.0669000,1.0677200,46092
20230213,000000,1.0676900,1.0732300,1.0654000,1.0729000,1443800
20230214,000000,1.0730800,1.0804700,1.0705900,1.0734900,2322583
20230215,000000,1.0734900,1.0744500,1.0659000,1.0691000,1744874
20230216,000000,1.0691000,1.0722500,1.0653000,1.0664700,1890948
20230217,000000,1.0665500,1.0698400,1.0611000,1.0694000,1658364
20230219,000000,1.0683700,1.0693400,1.0680000,1.0684200,45230
20230220,000000,1.0683900,1.0704700,1.0669000,1.0681000,1063401
20230221,000000,1.0681900,1.0698200,1.0636000,1.0650000,1851919
20230222,000000,1.0651100,1.0664000,1.0598000,1.0604800,1818706
20230223,000000,1.0605100,1.0627800,1.0576000,1.0597200,1686027
20230224,000000,1.0596900,1.0614300,1.0535000,1.0543700,1924851
20230226,000000,1.0545000,1.0555200,1.0539700,1.0552800,34977
20230227,000000,1.0552800,1.0619900,1.0531000,1.0609700,1686658
20230228,000000,1.0609300,1.0645300,1.0572000,1.0576600,1740401
20230301,000000,1.0576600,1.0691500,1.0564000,1.0668000,2009026
20230302,000000,1.0668100,1.0673000,1.0575000,1.0597800,1805702
20230303,000000,1.0597800,1.0639300,1.0587000,1.0634000,1556997
20230305,000000,1.0622000,1.0628800,1.0612000,1.0625200,42626
20230306,000000,1.0624900,1.0694500,1.0620000,1.0684900,1483464
20230307,000000,1.0685700,1.0694500,1.0544000,1.0548400,1829517
20230308,000000,1.0547800,1.0573800,1.0523600,1.0549000,1591296
20230309,000000,1.0548600,1.0591200,1.0537200,1.0584700,1446624
20230310,000000,1.0585200,1.0700700,1.0572000,1.0638600,2397142
20230312,000000,1.0642000,1.0703400,1.0637600,1.0680600,145886
20230313,000000,1.0680600,1.0748600,1.0649000,1.0722700,3004289
20230314,000000,1.0722900,1.0749700,1.0677000,1.0726400,2426923
20230315,000000,1.0727000,1.0760000,1.0515000,1.0581500,2486067
20230316,000000,1.0581500,1.0635600,1.0549000,1.0613600,2521498
20230317,000000,1.0613500,1.0685300,1.0610000,1.0663900,1853856
20230319,000000,1.0686000,1.0706100,1.0665300,1.0680200,88065
20230320,000000,1.0680200,1.0730900,1.0629000,1.0718600,2088017
20230321,000000,1.0718400,1.0788600,1.0702000,1.0772600,1473027
20230322,000000,1.0772100,1.0912500,1.0757000,1.0869000,1830585
20230323,000000,1.0869000,1.0930000,1.0823000,1.0834200,1985330
20230324,000000,1.0834100,1.0837100,1.0712000,1.0758800,2012442
20230326,000000,1.0759000,1.0779900,1.0758000,1.0777400,95640
20230327,000000,1.0777000,1.0808000,1.0743000,1.0806400,1541005
20230328,000000,1.0805800,1.0848600,1.0802000,1.0838600,1392209
20230329,000000,1.0838600,1.0871500,1.0817000,1.0842400,1411884
20230330,000000,1.0842700,1.0926300,1.0822700,1.0904200,1371602
20230331,000000,1.0904000,1.0925700,1.0835000,1.0838100,1433509
20230402,000000,1.0845000,1.0848000,1.0800000,1.0802000,99920
20230403,000000,1.0802000,1.0916700,1.0787000,1.0906400,1448694
20230404,000000,1.0906300,1.0973300,1.0881000,1.0956900,1468276
20230405,000000,1.0957700,1.0969600,1.0890000,1.0902500,1366456
20230406,000000,1.0902600,1.0937600,1.0883000,1.0919100,1116266
20230407,000000,1.0918900,1.0924000,1.0875400,1.0901400,469050
20230409,000000,1.0899100,1.0913700,1.0898000,1.0913000,50141
20230410,000000,1.0912500,1.0917300,1.0830000,1.0869000,997765
20230411,000000,1.0867000,1.0928100,1.0866000,1.0915900,1195342
20230412,000000,1.0915900,1.1000400,1.0913000,1.0996800,1295613
20230413,000000,1.0996400,1.1067700,1.0975000,1.1051700,1220642
20230414,000000,1.1051200,1.1075900,1.0971000,1.0991000,1328830
20230416,000000,1.0990000,1.0994500,1.0982000,1.0984100,48030
20230417,000000,1.0983700,1.0999800,1.0908000,1.0924500,1193670
20230418,000000,1.0923700,1.0983000,1.0921000,1.0974400,1119301
20230419,000000,1.0975000,1.0984000,1.0916000,1.0950900,1247103
20230420,000000,1.0951300,1.0989600,1.0932000,1.0967200,1238797
20230421,000000,1.0967200,1.0993800,1.0937000,1.0988000,1215393
20230423,000000,1.0989000,1.0996200,1.0984900,1.0991500,36532
20230424,000000,1.0991800,1.1057100,1.0965000,1.1057000,1172887
20230425,000000,1.1056200,1.1067100,1.0963000,1.0977900,1331810
20230426,000000,1.0977900,1.1095500,1.0967000,1.1045000,1564303
20230427,000000,1.1044800,1.1063500,1.0991000,1.1031600,1444399
20230428,000000,1.1031100,1.1045000,1.0961000,1.1014400,1605281
20230430,000000,1.1031000,1.1036000,1.1009200,1.1010600,53118
20230501,000000,1.1010100,1.1035500,1.0963700,1.0968600,1068807
20230502,000000,1.0968400,1.1006700,1.0941000,1.0957800,887559
20230503,000000,1.1028000,1.1091600,1.1018800,1.1068200,1313044
20230504,000000,1.1068700,1.1091700,1.0985000,1.1022900,1767608
20230505,000000,1.1022500,1.1047900,1.0965900,1.1017400,1299513
20230507,000000,1.1031000,1.1031000,1.1013500,1.1018200,48192
20230508,000000,1.1017700,1.1053700,1.0993000,1.0996500,1100376
20230509,000000,1.0996000,1.1000700,1.0940000,1.0964400,1294191
20230510,000000,1.0964200,1.1006800,1.0940000,1.0982600,1431104
20230511,000000,1.0982700,1.0998100,1.0899000,1.0911600,1483600
20230512,000000,1.0911900,1.0935500,1.0846800,1.0847000,1238978
20230514,000000,1.0846000,1.0866000,1.0839200,1.0852600,46045
20230515,000000,1.0852000,1.0890800,1.0847000,1.0873300,1125758
20230516,000000,1.0873300,1.0904600,1.0854000,1.0864900,1243596
20230517,000000,1.0864900,1.0874000,1.0809000,1.0837500,1264076
20230518,000000,1.0837500,1.0848000,1.0761000,1.0774500,1231143
20230519,000000,1.0774500,1.0829000,1.0759000,1.0801900,1303644
20230521,000000,1.0809200,1.0824200,1.0803200,1.0821800,44315
20230522,000000,1.0821100,1.0831300,1.0794000,1.0810000,1342354
20230523,000000,1.0809700,1.0820600,1.0759000,1.0769000,1404533
20230524,000000,1.0769000,1.0801300,1.0741400,1.0755600,1434675
20230525,000000,1.0754800,1.0755900,1.0706600,1.0723200,1388916
20230526,000000,1.0723500,1.0758600,1.0700000,1.0725000,1263136
20230528,000000,1.0727200,1.0729200,1.0712000,1.0720900,45953
20230529,000000,1.0721200,1.0743500,1.0704000,1.0706000,685857
20230530,000000,1.0706600,1.0746600,1.0671000,1.0731600,1367001
20230531,000000,1.0731100,1.0735600,1.0634000,1.0693500,1480580
20230601,000000,1.0692700,1.0768500,1.0661000,1.0760600,1321963
20230602,000000,1.0760300,1.0779000,1.0703900,1.0706000,1254737
20230604,000000,1.0710600,1.0713600,1.0693000,1.0696100,49229
20230605,000000,1.0696400,1.0722500,1.0673000,1.0711400,1178607
20230606,000000,1.0710900,1.0732900,1.0666000,1.0698200,1181197
20230607,000000,1.0697800,1.0739900,1.0667000,1.0706900,1059276
20230608,000000,1.0706900,1.0787100,1.0700000,1.0781100,1066675
20230609,000000,1.0781100,1.0785200,1.0742000,1.0747000,972200
20230611,000000,1.0746000,1.0751600,1.0742300,1.0750100,37965
20230612,000000,1.0750100,1.0790100,1.0732300,1.0762000,1041770
20230613,000000,1.0761500,1.0823500,1.0758000,1.0794700,1198768
20230614,000000,1.0788400,1.0864100,1.0783000,1.0842400,969181
20230615,000000,1.0842400,1.0952700,1.0802000,1.0945500,1220262
20230616,000000,1.0945600,1.0970700,1.0917200,1.0940100,1125873
20230618,000000,1.0940100,1.0943200,1.0931700,1.0939500,48016
20230619,000000,1.0939100,1.0946300,1.0905000,1.0923100,825495
20230620,000000,1.0923100,1.0946200,1.0891000,1.0920000,1210014
20230621,000000,1.0919500,1.0992300,1.0904000,1.0991200,1229314
20230622,000000,1.0990800,1.1012300,1.0947700,1.0955400,1192458
20230623,000000,1.0955400,1.0958600,1.0843600,1.0891000,1280033
20230625,000000,1.0895000,1.0910000,1.0890500,1.0905500,51420
20230626,000000,1.0905700,1.0920100,1.0886700,1.0909800,1092132
20230627,000000,1.0910000,1.0976800,1.0901300,1.0957000,1233327
20230628,000000,1.0957200,1.0962200,1.0896100,1.0914700,1248163
20230629,000000,1.0914700,1.0941400,1.0859000,1.0866800,1268460
20230630,000000,1.0866800,1.0931900,1.0834400,1.0907400,1172591
